trait_type,trait_value,trait_unit,individual_pk,life_stage_general_initial,life_stage_general_final,species_reported,scientific_name
development,24,Days,TRAIND002139,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002140,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002141,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002142,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002143,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002144,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002145,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002146,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002147,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002148,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002149,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002150,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002151,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002152,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002153,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,19.5,Days,TRAIND002154,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002155,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002156,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002157,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002158,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002159,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002160,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002161,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002162,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002163,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002164,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002165,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002166,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002167,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002168,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002169,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002170,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002171,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002172,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002173,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002174,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002175,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002176,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002177,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002178,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002179,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002180,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002181,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002182,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002183,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002184,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002185,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002186,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002187,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002188,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002189,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002190,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002191,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002192,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002193,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002194,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002195,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,19,Days,TRAIND002196,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002197,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002198,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002199,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002200,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002201,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002202,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002203,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002204,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002205,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002206,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002207,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002208,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002209,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002210,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002211,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002212,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002213,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002214,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002215,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002216,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002217,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002218,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002219,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002220,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002221,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25.5,Days,TRAIND002222,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25,Days,TRAIND002223,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002224,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002225,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002226,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002227,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002228,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002229,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002230,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002231,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002232,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002233,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002234,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002235,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002236,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002237,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002238,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002239,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002240,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002241,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25,Days,TRAIND002242,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002243,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002244,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002245,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002246,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002247,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002248,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002249,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002250,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002251,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002252,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002253,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002254,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002255,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002256,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002257,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002258,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002259,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002260,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002261,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002262,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25,Days,TRAIND002263,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002264,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002265,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002266,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002267,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002268,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002269,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002270,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,26,Days,TRAIND002271,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002272,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002273,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002274,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002275,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002276,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002277,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002278,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002279,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002280,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002281,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002282,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002283,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002284,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002285,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,26,Days,TRAIND002286,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002287,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002288,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002289,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002290,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002291,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002292,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002293,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002294,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002295,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002296,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002297,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25,Days,TRAIND002298,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002299,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002300,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25,Days,TRAIND002301,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002302,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002303,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25,Days,TRAIND002304,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002305,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002306,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002307,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002308,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002309,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002310,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002311,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002312,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002313,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002314,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002315,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002316,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002317,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002318,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25,Days,TRAIND002319,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002320,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25,Days,TRAIND002321,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002322,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002323,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002324,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002325,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002326,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002327,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002328,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002329,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002330,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002331,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002332,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002333,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002334,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002335,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002336,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002337,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002338,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002339,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002340,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002341,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002342,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002343,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002344,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002345,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25.5,Days,TRAIND002346,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002347,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25.5,Days,TRAIND002348,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002349,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002350,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002351,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002352,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002353,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002354,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002355,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002356,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002357,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002358,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002359,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002360,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002361,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002362,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002363,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002364,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,27,Days,TRAIND002365,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002366,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002367,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002368,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002369,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002370,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002371,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002372,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002373,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24,Days,TRAIND002374,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002375,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002376,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002377,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND002378,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002379,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002380,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002381,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002382,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002383,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002384,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002385,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002386,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,25.5,Days,TRAIND002387,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22,Days,TRAIND002388,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002389,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21.5,Days,TRAIND002390,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002391,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002392,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002393,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002394,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002395,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002396,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002397,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002398,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002399,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002400,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20.5,Days,TRAIND002401,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002402,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002403,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002404,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23,Days,TRAIND002405,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,22.5,Days,TRAIND002406,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002407,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002408,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,23.5,Days,TRAIND002409,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,24.5,Days,TRAIND002410,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002411,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,20,Days,TRAIND002412,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,21,Days,TRAIND002413,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
